Word,Present Affirmative,Present Negative,Past Affirmative,Past Negative
New,あたらしい,あたらしくない,あたらしかった,あたらしくなかった
Old,ふるい,ふるくないです,ふるかった,ふるくなかった
Hot,あつい,あつくない,あつかった,あつくなかった
Cold (weather),さむい,さむくない,さむかった,さむくなかった
busy,いそがしい,いそがしくない,いそがしかった,いそがしくなかった
large,おおきい,おおくない,おおきかった,おおきくなかった
small,ちいさい,ちいさくない,ちいさかった,ちいさくなかった
intersteing; funny,おもしろい,おもしろくない,おもしろかった,おもしろくなかった
boring,つまらない,つまらなくない,つまらなかった,つまらなくなかった
easy(problem); kind(person),やさしい,やさしくない,やさしかった,やさしくなかった
difficult,むずかしい,むずかしくない,むずかしかった,むずかしくなかった
good-looking,かっこいい,かっこいくない,かっこいかった,かっこいくなかった
frightening,こわい,こわくない,こわかった,こわくなかった
fun,たのしい,たのしくない,たのしかった,たのしくなかった
inexpensive; cheap,やすい,やすくない,やすかった,やすくなかった
Like,すきです,すきじゃないです,すきでした,すきじゃなかったです
Dislike,きらいです,きらいじゃないでです,きらいでした,きらいじゃなかったです
Love,だいすきです,だいすきじゃないです,だいすきでした,だいすきじゃなかったです
Hate,だいきらいです,だいきらいじゃないでです,だいきらいでした,だいきらいじゃなかったです
beautiful; clean,きれいです,きれいじゃないです,きれいでした,きれいじゃなかったです
healthy; energetic,げんきです,げんきじゃないです,げんきでした,げんきじゃなかったです
quiet,しずかです,しずかじゃないです,しすかでした,しずかじゃなかったです
lively,にぎやかです,にぎやかじゃないです,にぎやかでした,にぎやかじゃなかったです
not busy; free,ひまです,ひまじゃないです,ひまでした,ひまじゃなかったです
